Pallo Rait,0:31:11,1:03:36,1:28:56,1:49:39,2:08:57,2:27:57,2:53:19.5
Milovanov Oleg,0:31:18,1:03:34,1:29:04,1:49:37,2:08:46,2:27:49,2:53:19.6
Savastver Alar,0:30:40,1:03:38,1:29:14,1:49:38,2:08:50,2:27:52,2:53:19.7
Narusk Priit,0:30:13,1:02:30,1:28:51,1:49:42,2:08:43,2:27:55,2:53:20.9
Vanninen Matti Pekka,0:31:19,1:03:48,1:28:53,1:49:40,2:09:00,2:27:54,2:53:21.0
Lepp Emeri,0:31:03,1:03:41,1:28:47,1:49:39,2:08:42,2:27:51,2:53:24.5
Branas Marcin,0:30:59,1:03:25,1:28:42,1:49:36,2:08:46,2:27:51,2:53:27.2
Timm Rimo,0:30:42,1:02:32,1:27:09,1:47:33,2:06:47,2:26:34,2:53:31.6
Veski Tanel,0:31:05,1:03:27,1:28:46,1:49:39,2:08:50,2:27:52,2:53:56.2
Mannima Tatjana,0:31:16,1:03:24,1:28:47,1:49:40,2:08:55,2:27:52,2:54:03.8
Chernyy Sergey,0:31:48,1:03:27,1:28:42,1:49:34,2:08:54,2:27:55,2:54:21.0
Sassano Antonio,0:31:06,1:03:42,1:29:28,1:50:17,2:09:52,2:29:07,2:55:28.5
Lillmets Üllar,0:31:37,1:04:23,1:29:31,1:50:17,2:09:53,2:29:09,2:55:33.8
Kromer Marie,0:31:17,1:04:06,1:29:28,1:50:11,2:09:49,2:29:03,2:55:37.5
Pirk Norman,0:31:31,1:03:28,1:28:49,1:49:40,2:08:52,2:28:12,2:55:44.9
Virkus Alvar Andres,0:30:00,1:02:24,1:27:11,1:47:45,2:07:40,2:27:53,2:56:03.5
Moravcova Klara,0:31:44,1:04:23,1:29:30,1:50:16,2:09:54,2:29:09,2:56:16.0
Kovaljov Juri,0:30:41,1:02:26,1:27:10,1:47:29,2:07:41,2:28:05,2:56:20.3
Jool Raiko,0:31:33,1:04:07,1:29:29,1:50:14,2:09:51,2:29:34,2:56:31.1
Tippi Bert,0:31:17,1:04:06,1:29:32,1:50:15,2:09:48,2:29:38,2:56:34.8
Keerberg Kasper,0:31:15,1:03:55,1:29:34,1:50:15,2:09:48,2:29:37,2:56:43.5
Laasik Karl,0:31:45,1:04:05,1:29:34,1:50:17,2:09:48,2:29:35,2:56:47.6
Viitkin Andre,0:44:33,1:04:01,1:29:30,1:50:13,2:09:52,2:29:34,2:56:50.6
Lusis Gints,0:32:39,1:05:16,1:32:10,1:52:58,2:12:56,2:31:46,2:57:36.3
Tammemäe Kaupo,0:32:35,1:05:20,1:32:03,1:52:54,2:12:22,2:31:36,2:57:36.7
Kaasik Ragnar,0:32:37,1:05:50,1:31:59,1:52:52,2:12:36,2:31:47,2:57:37.4
Vanags Karlis,0:32:38,1:05:16,1:32:03,1:53:02,2:12:57,2:31:46,2:57:38.7
Jagomägi Teet,0:31:21,1:04:24,1:30:46,1:52:24,2:12:05,2:31:40,2:57:40.0
Kasekamp Andrus,0:31:20,1:04:21,1:29:32,1:50:16,2:09:49,2:30:37,2:57:47.7
Veilberg Ago,0:31:43,1:04:13,1:29:31,1:50:35,2:11:03,2:31:18,2:57:52.0
Vakra Villu,0:31:12,1:05:01,1:31:42,1:52:54,2:12:32,2:31:08,2:58:11.9
Vait Indrek,0:31:41,1:05:04,1:31:11,1:52:57,2:12:58,2:32:05,2:58:16.5
Anton Arvi,0:31:44,1:03:21,1:29:11,1:52:44,2:12:48,2:32:04,2:58:23.2
Tamm Tarmo,0:31:46,1:05:00,1:30:57,1:52:39,2:12:44,2:32:01,2:58:26.1
Korolev Vladimir,0:31:44,1:04:54,1:31:05,1:52:42,2:12:49,2:31:51,2:58:27.7
Maier Mikko,0:32:57,1:05:50,1:31:43,1:52:53,2:12:33,2:32:01,2:58:29.8
Kyngäs Arto,0:31:31,1:04:54,1:31:01,1:52:40,2:12:43,2:31:56,2:58:49.7
Barkalov Andrey,0:31:49,1:04:53,1:30:29,1:52:03,2:12:02,2:31:51,2:58:52.8
Pollari Terhi,0:31:34,1:04:27,1:29:31,1:51:16,2:11:38,2:31:42,2:58:54.0
Sildvee Madis,0:32:40,1:06:33,1:32:18,1:53:06,2:13:01,2:32:04,2:59:05.3
Jagomägi Vootele,0:31:26,1:04:04,1:29:43,1:51:13,2:11:12,2:31:28,2:59:11.1
Širokov Juri,0:31:06,1:03:29,1:29:09,1:51:15,2:11:41,2:31:40,2:59:16.3
Ballet Maxime,0:31:05,1:04:52,1:31:00,1:52:44,2:12:45,2:32:12,2:59:35.0
Klampe Indrek,0:31:48,1:04:52,1:30:59,1:52:41,2:12:44,2:32:15,2:59:41.2
Sutt Romet,0:31:33,1:04:11,1:29:36,1:50:55,2:11:33,2:31:47,2:59:41.9
Rachinin Aleksandr,0:31:17,1:03:31,1:28:50,1:50:59,2:10:50,2:31:39,2:59:42.9
Liukkonen Oskari,0:33:45,1:06:30,1:32:18,1:53:01,2:12:52,2:31:54,2:59:44.4
Fediunin Yury,0:31:35,1:04:30,1:29:57,1:50:36,2:11:05,2:31:19,2:59:45.1
Karing Uku,0:31:38,1:04:21,1:29:47,1:51:40,2:12:17,2:32:25,3:00:06.5
Usov Dmitri,0:31:31,1:04:43,1:29:55,1:51:13,2:11:13,2:31:25,3:00:13.7
Rebane Riho,0:31:38,1:06:01,1:32:25,1:54:08,2:14:25,2:34:06,3:00:29.8
Wiig Rune,0:32:30,1:05:56,1:31:58,1:53:17,2:13:20,2:33:13,3:00:32.7
Talihärm Johan,0:30:22,1:02:35,1:29:28,1:50:16,2:10:09,2:30:38,3:00:38.6
Tattar Kristjan,0:31:47,1:04:04,1:29:36,1:51:12,2:11:35,2:31:53,3:00:56.7
